,日付,信用売残,信用買残,信用倍率
0,2023-08-04,89900,74900,0.83
1,2023-07-28,114700,92800,0.81
2,2023-07-21,110300,63200,0.57
3,2023-07-14,116200,59200,0.51
4,2023-07-07,116100,54900,0.47
5,2023-06-30,123800,62000,0.5
6,2023-06-23,106800,41800,0.39
7,2023-06-16,104800,51100,0.49
8,2023-06-09,109400,54200,0.5
9,2023-06-02,163500,42700,0.26
10,2023-05-26,164600,40500,0.25
11,2023-05-19,159600,45600,0.29
12,2023-05-12,113900,48800,0.43
13,2023-04-28,100100,85600,0.86
14,2023-04-21,91800,104400,1.14
15,2023-04-14,87200,106500,1.22
16,2023-04-07,78600,134800,1.72
17,2023-03-31,80800,134600,1.67
18,2023-03-24,80700,141300,1.75
19,2023-03-17,73100,144400,1.98
20,2023-03-10,82900,121400,1.46
21,2023-03-03,74800,154900,2.07
22,2023-02-24,72400,160400,2.22
23,2023-02-17,67100,177600,2.65
