,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,5742,5925,5701,5911,1610200,5911.0
1,2023-08-09,5815,5880,5781,5781,1406600,5781.0
2,2023-08-08,5950,5959,5847,5899,995500,5899.0
3,2023-08-07,5850,5897,5802,5883,870300,5883.0
4,2023-08-04,5817,5942,5811,5919,1507500,5919.0
5,2023-08-03,5811,5890,5788,5810,2141000,5810.0
6,2023-08-02,6073,6103,5928,5942,2428100,5942.0
7,2023-08-01,6165,6189,6108,6130,1620600,6130.0
8,2023-07-31,6219,6294,6057,6171,3039300,6171.0
9,2023-07-28,6202,6348,6160,6319,1699300,6319.0
10,2023-07-27,6260,6362,6230,6338,994500,6338.0
11,2023-07-26,6341,6355,6260,6297,913900,6297.0
12,2023-07-25,6197,6375,6172,6355,1873200,6355.0
13,2023-07-24,6180,6196,6077,6139,1084200,6139.0
14,2023-07-21,6147,6147,6055,6094,1406900,6094.0
15,2023-07-20,6330,6352,6184,6190,1201800,6190.0
16,2023-07-19,6257,6375,6252,6375,1696100,6375.0
17,2023-07-18,6079,6240,6070,6233,1218000,6233.0
18,2023-07-14,6140,6185,6021,6078,1446500,6078.0
19,2023-07-13,5975,6104,5908,6078,1413400,6078.0
20,2023-07-12,6057,6084,5848,5967,2040300,5967.0
21,2023-07-11,6072,6272,6062,6081,2694700,6081.0
22,2023-07-10,6177,6250,5988,6003,3560400,6003.0
23,2023-07-07,6290,6322,6217,6217,2099300,6217.0
24,2023-07-06,6388,6404,6259,6384,2102800,6384.0
