,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,6078,6165,6056,6164,1786000,6164.0
1,2023-08-09,5977,6091,5945,6023,1528400,6023.0
2,2023-08-08,5894,5980,5879,5975,1451900,5975.0
3,2023-08-07,5835,5869,5792,5860,675000,5860.0
4,2023-08-04,5800,5852,5791,5837,924600,5837.0
5,2023-08-03,5875,5907,5830,5835,1389500,5835.0
6,2023-08-02,5900,5997,5888,5924,2690100,5924.0
7,2023-08-01,5858,5899,5835,5899,1260500,5899.0
8,2023-07-31,5845,5896,5814,5843,1336000,5843.0
9,2023-07-28,5724,5799,5703,5781,1310000,5781.0
10,2023-07-27,5750,5769,5723,5767,993500,5767.0
11,2023-07-26,5720,5733,5666,5728,1300200,5728.0
12,2023-07-25,5740,5744,5714,5728,836900,5728.0
13,2023-07-24,5725,5756,5712,5721,956300,5721.0
14,2023-07-21,5753,5757,5703,5712,1450700,5712.0
15,2023-07-20,5775,5800,5747,5775,1124100,5775.0
16,2023-07-19,5717,5747,5683,5746,1136400,5746.0
17,2023-07-18,5719,5743,5650,5657,1339300,5657.0
18,2023-07-14,5827,5859,5739,5739,1299500,5739.0
19,2023-07-13,5840,5840,5781,5827,1095600,5827.0
20,2023-07-12,5880,5889,5835,5849,765100,5849.0
21,2023-07-11,5850,5875,5817,5835,863800,5835.0
22,2023-07-10,5861,5863,5811,5826,1053200,5826.0
23,2023-07-07,5850,5911,5811,5843,1080700,5843.0
24,2023-07-06,5869,5895,5812,5843,1206600,5843.0
