,日付,信用売残,信用買残,信用倍率
0,2023-08-04,5800200,11926200,2.06
1,2023-07-28,5867300,13375500,2.28
2,2023-07-21,4897600,17285800,3.53
3,2023-07-14,4288600,20466700,4.77
4,2023-07-07,4634500,19556500,4.22
5,2023-06-30,4474900,20135900,4.5
6,2023-06-23,3876600,23019400,5.94
7,2023-06-16,4295600,22359500,5.21
8,2023-06-09,4373500,22801300,5.21
9,2023-06-02,3776100,27986200,7.41
10,2023-05-26,3589200,27233600,7.59
11,2023-05-19,3938800,28359700,7.2
12,2023-05-12,3737800,29242900,7.82
13,2023-04-28,5168400,21453600,4.15
14,2023-04-21,4945200,21403400,4.33
15,2023-04-14,4994700,22026800,4.41
16,2023-04-07,4803300,22030200,4.59
17,2023-03-31,5047200,22533500,4.46
18,2023-03-24,4552500,25042400,5.5
19,2023-03-17,4376300,25700500,5.87
20,2023-03-10,5822400,19822400,3.4
21,2023-03-03,5264700,21997500,4.18
22,2023-02-24,5320200,23486200,4.41
23,2023-02-17,5801400,26376100,4.55
