,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,1395.5,1421.0,1389.0,1421.0,5739800.0,1421.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,1340.5,1389.0,1320.0,1384.5,11769500.0,1384.5,0.0,0.0,0.0,-,-,43000.0,104500.0
2,2023-08-08,1427.0,1443.0,1415.5,1425.0,4627600.0,1425.0,0.0,0.0,0.0,0.00,-,71100.0,71000.0
3,2023-08-07,1404.5,1416.5,1396.5,1413.5,3991200.0,1413.5,0.0,0.0,0.0,-,-,37000.0,76100.0
4,2023-08-04,1385.5,1421.0,1381.5,1416.5,4114700.0,1416.5,846400.0,3599900.0,4.25,0.00,-,80800.0,80800.0
5,2023-08-03,1404.5,1412.0,1389.5,1393.5,4133000.0,1393.5,0.0,0.0,0.0,-,-,51300.0,44000.0
6,2023-08-02,1406.0,1453.5,1397.0,1418.0,6464100.0,1418.0,0.0,0.0,0.0,-,-,63300.0,427900.0
7,2023-08-01,1411.0,1433.5,1402.5,1431.5,4868600.0,1431.5,0.0,0.0,0.0,0.00,-,67000.0,67800.0
8,2023-07-31,1408.5,1421.0,1394.5,1405.5,6249800.0,1405.5,0.0,0.0,0.0,-,-,58500.0,111800.0
9,2023-07-28,1384.5,1412.0,1351.0,1371.0,7613800.0,1371.0,870400.0,3521600.0,4.05,-,-,33000.0,118000.0
10,2023-07-27,1429.5,1432.0,1408.5,1413.0,4068200.0,1413.0,0.0,0.0,0.0,-,-,63000.0,112900.0
11,2023-07-26,1434.5,1436.0,1404.0,1425.5,4740500.0,1425.5,0.0,0.0,0.0,0.00,-,91900.0,92800.0
12,2023-07-25,1417.5,1461.0,1413.5,1450.5,7131500.0,1450.5,0.0,0.0,0.0,0.00,-,110600.0,110200.0
13,2023-07-24,1396.5,1431.0,1395.0,1416.0,6770500.0,1416.0,0.0,0.0,0.0,0.00,-,71900.0,69100.0
14,2023-07-21,1369.0,1379.0,1357.0,1369.5,4020700.0,1369.5,892700.0,3263200.0,3.66,-,-,45700.0,41700.0
15,2023-07-20,1357.0,1378.5,1355.5,1361.5,5072700.0,1361.5,0.0,0.0,0.0,0.00,-,39700.0,25500.0
16,2023-07-19,1305.0,1349.0,1295.5,1349.0,6521800.0,1349.0,0.0,0.0,0.0,0.00,-,69000.0,44100.0
17,2023-07-18,1268.0,1284.0,1259.0,1277.5,3168300.0,1277.5,0.0,0.0,0.0,-,-,24500.0,27600.0
18,2023-07-14,1280.5,1292.5,1259.0,1270.0,3602000.0,1270.0,763000.0,3595600.0,4.71,-,-,29900.0,24300.0
19,2023-07-13,1283.0,1293.5,1273.0,1286.0,3566000.0,1286.0,0.0,0.0,0.0,-,-,26900.0,33600.0
20,2023-07-12,1318.0,1325.0,1293.0,1299.0,4376900.0,1299.0,0.0,0.0,0.0,-,-,47400.0,18400.0
21,2023-07-11,1350.5,1350.5,1295.0,1305.0,6697600.0,1305.0,0.0,0.0,0.0,-,-,25300.0,19200.0
22,2023-07-10,1370.5,1373.5,1337.0,1346.5,4574800.0,1346.5,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,1370.0,1394.5,1356.5,1368.0,4120200.0,1368.0,1033500.0,3509700.0,3.4,0,0,0.0,0.0
